Name,Season,Team,Apps,Mins,Goals,Assists,Yel,Red,Shots per Game,Pass Success%,Aerials Won,MotM,Avg. Rating
Cristiano Ronaldo,2013/2014,Real Madrid,30,2563,31,9,4,1,7.2,80.2,1.8,10,8.26
Lionel Messi,2013/2014,Barcelona,33,2518,28,11,2,0,5.2,85,0.2,14,8.42
Wayne Rooney,2013/2014,Manchester United,29,2452,17,10,8,0,3.5,80.1,0.9,7,7.62
Zlatan Ibrahimovic,2013/2014,Paris Saint Germian,32,2689,26,11,6,0,5,76.4,2.2,9,7.83
Radamel Falcao,2013/2014,Monaco,17,1398,9,0,5,0,2.9,84.7,1.1,0,6.93
Sergio Aguero,2013/2014,Manchester City,23,1554,17,6,4,0,3.7,84.9,0.4,6,7.68
Luis Suarez,2013/2014,Liverpool,33,2966,31,12,6,0,5.5,74.8,0.7,14,8.43
Franck Ribery,2013/2014,Bayern Munich,22,1648,10,10,2,0,2.7,83.8,0.4,8,8.28
Robert Lewandowski,2013/2014,Borussia Dortmund,33,2811,20,6,3,0,3.5,72.3,4.4,7,8
Karim Benzema,2013/2014,Real Madrid,35,2799,17,9,2,0,2.9,81.9,0.7,1,7.44
Carlos Tevez,2013/2014,Juventus,34,2620,19,7,4,0,3.7,82,0.4,6,7.61
Edinson Cavani,2013/2014,Paris Saint Germain,30,2304,16,2,2,0,3.2,85.5,0.3,2,7.16
Gareth Bale,2013/2014,Real Madrid,27,2080,15,12,3,0,3.3,76.3,1.1,4,7.75
Angel Di Maria,2013/2014,Real Madrid,34,2402,4,17,6,0,1.9,82.1,0,2,7.46
Mesut Ozil,2013/2014,Arsenal,26,2159,5,9,0,0,1.2,88,0.2,4,7.28
Marco Reus,2013/2014,Borussia Dortmund,30,2234,16,13,6,0,3.7,74.7,0.9,5,7.91
Andres Iniesta,2013/2014,Barcelona,35,2493,3,7,0,0,1.2,90.7,0.1,1,7.37
Francesco Totti,2013/2014,AS Roma,26,1690,8,10,3,0,2.5,78.5,0.5,3,7.33
Andrea Pirlo,2013/2014,Juventus,30,2475,4,6,4,0,1.6,88.5,0.2,3,7.56
Arturo Vidal,2013/2014,Juventus,32,2451,11,5,8,0,1.8,83.7,1.3,5,7.45
Daniele De Rossi,2013/2014,AS Roma,32,2742,1,1,4,1,1,89.3,1.8,2,7.38
Edin Dzeko,2013/2014,Manchester City,31,2009,16,1,4,0,3.3,73.5,2.8,2,7.15
Cesc Fabregas,2013/2014,Barcelona,36,2488,8,13,4,0,1.4,87,0.5,1,7.31
Cristiano Ronaldo,2012/2013,Real Madrid,34,2725,34,10,9,0,6.9,76.7,1.6,11,8.15
Lionel Messi,2012/2013,Barcelona,32,2644,46,12,1,0,5.1,85.2,0.2,19,8.83
Wayne Rooney,2012/2013,Manchester United,27,2029,12,10,7,0,3.2,82.9,0.6,3,7.28
Zlatan Ibrahimovic,2012/2013,Paris Saint Germian,34,2994,30,8,9,1,4.6,74.7,2,13,7.82
Radamel Falcao,2012/2013,Atletico Madrid,34,2913,28,1,7,0,3.6,79.9,2.2,3,7.25
Sergio Aguero,2012/2013,Manchester City,30,1957,12,2,2,0,2.9,82.4,0.2,0,7.04
Luis Suarez,2012/2013,Liverpool,33,2957,23,5,10,0,5.7,76.5,0.4,9,7.89
Franck Ribery,2012/2013,Bayern Munich,27,2127,10,14,2,0,2.4,87.7,0.4,11,8.42
Robert Lewandowski,2012/2013,Borussia Dortmund,31,2657,24,5,2,1,3.2,71.9,2.8,4,7.66
Karim Benzema,2012/2013,Real Madrid,30,1803,11,11,0,0,2.1,79.2,0.9,1,7.18
Carlos Tevez,2012/2013,Manchester City,34,2429,11,8,3,0,3.1,83.9,0.4,6,7.24
Edinson Cavani,2012/2013,Napoli,34,2982,29,2,8,0,4.6,78.2,0.9,8,7.7
Gareth Bale,2012/2013,Tottenham,33,2928,21,4,6,0,5,78.6,1.7,11,7.92
Angel Di Maria,2012/2013,Real Madrid,32,1999,7,6,3,1,1.9,71.9,0,1,6.92
Mesut Ozil,2012/2013,Real Madrid,32,2052,9,13,5,0,0.9,84.1,0.2,1,7.39
Marco Reus,2012/2013,Borussia Dortmund,32,2368,14,9,4,0,2.7,76.7,0.9,7,7.61
Andres Iniesta,2012/2013,Barcelona,31,2105,3,16,4,0,1.1,90.5,0,3,7.41
Francesco Totti,2012/2013,AS Roma,34,2839,12,4,7,1,3.6,74.2,0.5,5,7.58
Andrea Pirlo,2012/2013,Juventus,32,2859,5,3,8,0,2.1,87.2,0.4,6,7.8
Arturo Vidal,2012/2013,Juventus,31,2592,10,1,11,0,2,86.9,1.4,6,7.77
Daniele De Rossi,2012/2013,AS Roma,25,1804,0,2,6,1,0.9,84.2,1.1,0,6.98
Edin Dzeko,2012/2013,Manchester City,32,1823,14,3,4,0,2.9,69.2,2.7,2,6.96
Cesc Fabregas,2012/2013,Barcelona,32,2339,11,11,7,0,1.6,88.6,0.5,2,7.45
Cristiano Ronaldo,2011/2012,Real Madrid,38,3356,46,12,4,0,6.9,80.6,0.8,11,8.28
Lionel Messi,2011/2012,Barcelona,37,3268,50,16,6,0,5.5,84.2,0.1,24,8.88
Wayne Rooney,2011/2012,Manchester United,34,2845,27,4,1,0,4.6,80.7,0.8,6,7.73
Zlatan Ibrahimovic,2011/2012,AC Milan,32,2839,28,6,3,1,4.4,77.1,1.5,11,8.14
Radamel Falcao,2011/2012,Atletico Madrid,34,2947,24,3,7,0,3.6,76.6,1.6,4,7.2
Sergio Aguero,2011/2012,Manchester City,34,2622,23,8,2,0,3.8,86.5,0.1,6,7.45
Luis Suarez,2011/2012,Liverpool,31,2566,11,3,5,0,4.1,75.3,0.2,6,7.35
Franck Ribery,2011/2012,Bayern Munich,32,2455,12,12,4,1,2.2,84.8,0.3,6,7.9
Robert Lewandowski,2011/2012,Borussia Dortmund,34,2893,22,8,4,0,3.5,70.6,2.3,6,7.63
Karim Benzema,2011/2012,Real Madrid,34,2272,21,7,0,0,2.9,81.8,0.4,4,7.39
Carlos Tevez,2011/2012,Manchester City,13,608,4,3,1,0,2.5,86.8,0.2,0,7.14
Edinson Cavani,2011/2012,Napoli,35,2921,23,3,4,0,3.5,72.4,0.4,1,7.17
Gareth Bale,2011/2012,Tottenham,36,3218,9,10,3,0,3.8,82.5,1,8,7.66
Angel Di Maria,2011/2012,Real Madrid,33,1399,5,15,5,1,2.1,74.8,0,2,7.4
Mesut Ozil,2011/2012,Real Madrid,35,2617,4,17,5,1,0.9,87.1,0.1,4,7.37
Marco Reus,2011/2012,Borussia M_nchengladbach,32,2790,18,9,3,0,3.2,78.4,0.2,12,7.99
Andres Iniesta,2011/2012,Barcelona,27,1877,2,9,3,0,1.8,89.7,0.1,2,7.43
Francesco Totti,2011/2012,AS Roma,27,2219,8,7,7,0,3.7,78.1,0.1,2,7.34
Andrea Pirlo,2011/2012,Juventus,37,3320,3,13,6,0,2.1,86.9,0.2,6,7.88
Arturo Vidal,2011/2012,Juventus,33,2648,7,3,12,1,2.3,85.2,1.3,6,7.68
Daniele De Rossi,2011/2012,AS Roma,32,2836,4,1,9,0,0.8,87.9,0.9,3,7.31
Edin Dzeko,2011/2012,Manchester City,30,1504,14,3,1,0,3.1,68.8,1.2,3,7.02
Cesc Fabregas,2011/2012,Barcelona,28,1960,9,8,6,0,1.6,86.9,0.1,2,7.44
Cristiano Ronaldo,2010/2011,Real Madrid,34,2914,40,11,2,0,7.4,75.7,1.4,12,8.35
Lionel Messi,2010/2011,Barcelona,33,2859,31,18,3,0,4.5,86.2,0.1,20,8.75
Wayne Rooney,2010/2011,Manchester United,28,2231,11,11,5,0,3.5,76.9,0.9,3,7.38
Zlatan Ibrahimovic,2010/2011,AC Milan,29,2557,14,11,8,2,4,71.2,2.4,7,7.6
Radamel Falcao,2010/2011,,,,,,,,,,,,
Sergio Aguero,2010/2011,Atletico Madrid,32,2687,20,2,6,0,3.9,77.4,0.1,5,7.38
