Season,Player,Team,Apps,Mins,Goals,Assists,Yel,Red,Shots per Game,Pass Success%,Aerials Won,MotM,Avg. Rating
2014/2015,Cristiano Ronaldo,Real Madrid,12,1074,20,8,1,0,6.1,82.5,1.4,8,9.07
2013/2014,Cristiano Ronaldo,Real Madrid,30,2563,31,9,4,1,7.2,80.2,1.8,10,8.26
2012/2013,Cristiano Ronaldo,Real Madrid,34,2725,34,10,9,0,6.9,76.7,1.6,11,8.15
2011/2012,Cristiano Ronaldo,Real Madrid,38,3356,46,12,4,0,6.9,80.6,0.8,11,8.28
2010/2011,Cristiano Ronaldo,Real Madrid,34,2914,40,11,2,0,7.4,75.7,1.4,12,8.35
,,,,,,,,,,,,,
2014/2015,Lionel Messi,Barcelona,13,1170,10,7,2,0,4.6,84.7,0.4,7,8.45
2013/2014,Lionel Messi,Barcelona,33,2518,28,11,2,0,5.2,85,0.2,14,8.42
2012/2013,Lionel Messi,Barcelona,32,2644,46,12,1,0,5.1,85.2,0.2,19,8.83
2011/2012,Lionel Messi,Barcelona,37,3268,50,16,6,0,5.5,84.2,0.1,24,8.88
2010/2011,Lionel Messi,Barcelona,33,2859,31,18,3,0,4.5,86.2,0.1,20,8.75
,,,,,,,,,,,,,
2014/2015,Wayne Rooney,Manchester United,10,900,5,2,1,1,3.1,84.9,0.9,0,7.3
2013/2014,Wayne Rooney,Manchester United,29,2452,17,10,8,0,3.5,80.1,0.9,7,7.62
2012/2013,Wayne Rooney,Manchester United,27,2029,12,10,7,0,3.2,82.9,0.6,3,7.28
2011/2012,Wayne Rooney,Manchester United,34,2845,27,4,1,0,4.6,80.7,0.8,6,7.73
2010/2011,Wayne Rooney,Manchester United,28,2231,11,11,5,0,3.5,76.9,0.9,3,7.38
,,,,,,,,,,,,,
2014/2015,Zlatan Ibrahimovic,Paris Saint Germian,8,563,6,0,0,0,4,78.2,2,2,7.43
2013/2014,Zlatan Ibrahimovic,Paris Saint Germian,32,2689,26,11,6,0,5,76.4,2.2,9,7.83
2012/2013,Zlatan Ibrahimovic,Paris Saint Germian,34,2994,30,8,9,1,4.6,74.7,2,13,7.82
2011/2012,Zlatan Ibrahimovic,AC Milan,32,2839,28,6,3,1,4.4,77.1,1.5,11,8.14
2010/2011,Zlatan Ibrahimovic,AC Milan,29,2557,14,11,8,2,4,71.2,2.4,7,7.6
,,,,,,,,,,,,,
2014/2015,Radamel Falcao,Monaco/Manchester United,9,400,3,2,0,0,3.5,172.5,0.9,0,6.74
2013/2014,Radamel Falcao,Monaco,17,1398,9,0,5,0,2.9,84.7,1.1,0,6.93
2012/2013,Radamel Falcao,Atletico Madrid,34,2913,28,1,7,0,3.6,79.9,2.2,3,7.25
2011/2012,Radamel Falcao,Atletico Madrid,34,2947,24,3,7,0,3.6,76.6,1.6,4,7.2
2010/2011,Radamel Falcao,,,,,,,,,,,,
,,,,,,,,,,,,,
2014/2015,Sergio Aguero,Manchester City,13,972,12,2,2,0,5.3,82.4,0.3,3,7.77
2013/2014,Sergio Aguero,Manchester City,23,1554,17,6,4,0,3.7,84.9,0.4,6,7.68
2012/2013,Sergio Aguero,Manchester City,30,1957,12,2,2,0,2.9,82.4,0.2,0,7.04
2011/2012,Sergio Aguero,Manchester City,34,2622,23,8,2,0,3.8,86.5,0.1,6,7.45
2010/2011,Sergio Aguero,Atletico Madrid,32,2687,20,2,6,0,3.9,77.4,0.1,5,7.38
,,,,,,,,,,,,,
2014/2015,Luis Suarez,Barcelona,5,357,0,4,0,0,1.8,79.1,0.4,1,7.49
2013/2014,Luis Suarez,Liverpool,33,2966,31,12,6,0,5.5,74.8,0.7,14,8.43
2012/2013,Luis Suarez,Liverpool,33,2957,23,5,10,0,5.7,76.5,0.4,9,7.89
2011/2012,Luis Suarez,Liverpool,31,2566,11,3,5,0,4.1,75.3,0.2,6,7.35
2010/2011,Luis Suarez,Liverpool,13,1105,4,3,2,0,4.2,73,0.2,0,7.63
,,,,,,,,,,,,,
2014/2015,Franck Ribery,Bayern Munich,7,353,1,1,1,0,0.7,84.3,0.3,0,7.37
